,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year
4590,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5456,7066,2016
4591,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5408,7295,2016
4592,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,6078,8142,2016
4593,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1497,2783,2016
4594,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3124,5059,2016
4595,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2529,4432,2016
4596,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3710,5716,2016
4597,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5708,6399,2016
4598,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5680,6554,2016
4599,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6393,8482,2016
4600,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,838,1841,2016
4601,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,422,1479,2016
4602,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,3323,4880,2016
4603,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,897,2251,2016
4604,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1,60,2016
4605,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,22,227,2016
4606,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,249,583,2016
4607,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,228,514,2016
4608,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1374,2250,2016
4609,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6,1041,2016
4610,Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1092,1843,2016
4611,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,26,777,2016
4612,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,803,901,2016
4613,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1657,2971,2016
4614,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3001,3450,2016
4615,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3113,3403,2016
4616,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6162,7124,2016
4617,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1701,2450,2016
4618,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3782,4904,2016
4619,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4670,6094,2016
4620,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3787,4714,2016
4621,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2609,3718,2016
4622,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,980,1704,2016
4623,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1729,2996,2016
4624,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,767,2618,2016
4625,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,24,115,2016
4626,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,124,186,2016
4627,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,80,403,2016
4628,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,549,999,2016
4629,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1074,2809,2016
4630,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,250,397,2016
4631,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,390,477,2016
4632,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,247,907,2016
4633,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1036,2526,2016
4634,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2826,5431,2016
4635,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4626,6561,2016
4636,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,933,1411,2016
4637,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1730,3577,2016
4638,Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3432,4434,2016
4639,Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6082,7732,2016
4640,Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2864,3497,2016
4641,Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2938,4033,2016
4642,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4321,6312,2016
